Ticker,Company Name,Sector,Date,Incorporation Region,Filing Link
HRL,HORMEL FOODS CORP /DE/,Consumer Staples,2021-12-10,DELAWARE,https://www.sec.gov/Archives/edgar/data/48465/000004846521000067/hrl-20211031.htm
EXR,Extra Space Storage Inc.,Real Estate,2022-02-28,MARYLAND,https://www.sec.gov/Archives/edgar/data/1289490/000162828022004274/exr-20211231.htm
LH,LABORATORY CORP OF AMERICA HOLDINGS,Health Care,2022-02-25,DELAWARE,https://www.sec.gov/Archives/edgar/data/920148/000092014822000015/lh-20211231.htm
ZBH,"ZIMMER BIOMET HOLDINGS, INC.",Health Care,2022-02-25,DELAWARE,https://www.sec.gov/Archives/edgar/data/1136869/000156459022007160/zbh-10k_20211231.htm
EPAM,"EPAM Systems, Inc.",Information Technology,2022-02-25,DELAWARE,https://www.sec.gov/Archives/edgar/data/1352010/000135201022000020/epam-20211231.htm
VMC,Vulcan Materials CO,Materials,2022-02-25,NEW JERSEY,https://www.sec.gov/Archives/edgar/data/1396009/000139600922000010/vmc-20211231x10k.htm
CCL,CARNIVAL CORP,Consumer Discretionary,2022-01-27,DELAWARE,https://www.sec.gov/Archives/edgar/data/815097/000081509722000009/ccl-20211130.htm
CDW,CDW Corp,Information Technology,2022-02-28,DELAWARE,https://www.sec.gov/Archives/edgar/data/1402057/000140205722000020/cdw-20211231.htm
NTRS,NORTHERN TRUST CORP,Financials,2022-02-28,DELAWARE,https://www.sec.gov/ix?doc=/Archives/edgar/data/73124/000007312422000071/ntrs-20211231.htm
STX,Seagate Technology Holdings plc,Information Technology,2021-08-06,UNKNOWN,https://www.sec.gov/Archives/edgar/data/1137789/000113778921000049/stx-20210702.htm
TSCO,TRACTOR SUPPLY CO /DE/,Consumer Discretionary,2022-02-17,DELAWARE,https://www.sec.gov/Archives/edgar/data/916365/000091636522000049/tsco-20211225.htm
GWW,"W.W. GRAINGER, INC.",Industrials,2022-02-23,ILLINOIS,https://www.sec.gov/Archives/edgar/data/277135/000027713522000012/gww-20211231.htm
HIG,"HARTFORD FINANCIAL SERVICES GROUP, INC.",Financials,2022-02-18,DELAWARE,https://www.sec.gov/Archives/edgar/data/874766/000087476622000019/hig-20211231.htm
MLM,MARTIN MARIETTA MATERIALS INC,Materials,2022-02-22,NORTH CAROLINA,https://www.sec.gov/Archives/edgar/data/916076/000156459022005965/mlm-10k_20211231.htm
KEY,KEYCORP /NEW/,Financials,2022-02-22,OHIO,https://www.sec.gov/Archives/edgar/data/91576/000009157622000029/key-20211231.htm
BBY,BEST BUY CO INC,Consumer Discretionary,2022-03-18,MINNESOTA,https://www.sec.gov/Archives/edgar/data/764478/000076447822000008/bby-20220129x10k.htm
